a,k,k h,Omega_cdm,Omega_b,Omega_m,A_s,h,k_horizon,sigma8,delta_cdm,delta_b,delta_m,delta_prime_cdm,delta_prime_b,delta_prime_m
0.03001042,0.01681133,0.025863584615384613,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.0066554983335033666,0.7487395865324111,-115.88450000000000273,-105.271199999999993224,-114.162408944625763434,-3763.9186584052190483,-3729.3562316577572346,-3758.3106339496929933
0.03003639,0.2784455,0.4283776923076923,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.0066554983335033666,0.7487395865324111,-1083.4459999999999127,-959.5340999999999667,-1063.3403236651722228,-35187.918140577807208,-34902.39370842410426,-35141.589565044961617
0.03005617,0.1024415,0.15760230769230768,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.0066554983335033666,0.7487395865324111,-614.0924999999999727,-534.1508000000000038,-601.1213330188150012,-19883.935832873987238,-19679.111490051265719,-19850.701478931487825
0.0300685,0.06642447,0.1021914923076923,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.0066554983335033666,0.7487395865324111,-442.82920000000001437,-376.5532000000000039,-432.07539988260176947,-14289.7589450637624395,-14111.152352456130757,-14260.778626448395248
0.0300716,0.04953792,0.0762121846153846,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.0066554983335033666,0.7487395865324111,-365.7740999999999758,-336.84100000000000819,-361.07947790185440945,-11922.2735565289276565,-11868.016274187093586,-11913.4698874900988335
0.03010663,0.01060726,0.01631886153846154,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.0066554983335033666,0.7487395865324111,-62.20383000000000351,-59.83404000000000167,-61.819313010739797464,-2015.5608405780947123,-2007.3929078440173726,-2014.235529515347491
0.03012679,0.008425647,0.012962533846153845,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.0066554983335033666,0.7487395865324111,-43.724490000000002965,-42.689759999999999707,-43.556596952811342086,-1409.0356274777195722,-1405.3706100716583478,-1408.4409496967494451
0.03013801,0.1979325,0.30451153846153844,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.0066554983335033666,0.7487395865324111,-915.2255999999999858,-808.0661000000000058,-897.8381317810317659,-29612.477564205029921,-29364.328849872799765,-29572.213491640024666
0.03013961,0.01335375,0.020544230769230766,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.0066554983335033666,0.7487395865324111,-86.504900000000006344,-81.31040000000000134,-85.662051688245744376,-2803.2043324400965503,-2785.840166073344335,-2800.3868604394732584
0.03018784,0.04753057,0.07312395384615385,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.0066554983335033666,0.7487395865324111,-353.7961999999999989,-326.95240000000001146,-349.4405831916317264,-11492.214427492319373,-11446.568073085483775,-11484.807948957418927
