a,k,k h,Omega_cdm,Omega_b,Omega_m,A_s,h,k_horizon,sigma8,delta_cdm,delta_b,delta_m,delta_prime_cdm,delta_prime_b,delta_prime_m
0.009901138,0.02634401,0.040529246153846156,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-65.61681000000000097,-40.29771000000000214,-61.508587709089001954,-6113.475905221499488,-5673.039719326523482,-6042.011684272983625
0.009904128,0.1734242,0.26680646153846155,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-295.79340000000001965,-214.24930000000000518,-282.5622310677600973,-28063.819340096866654,-27031.968918765778653,-27896.39352710200103
0.009913055,0.05357266,0.08241947692307693,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-133.45429999999998927,-100.46380000000000621,-128.10133297161828005,-12694.614538668549358,-12257.8392260732653085,-12623.744323087284586
0.009915158,0.1024415,0.15760230769230768,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-212.82689999999999486,-141.95160000000001332,-201.32682743284696346,-20017.819485107713263,-18950.73554694790073,-19844.676758035216972
0.009925366,0.1852542,0.28500646153846154,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-305.28460000000001173,-212.98670000000001323,-290.3085427868970806,-28801.680036115212715,-27540.435707239001204,-28597.033264856581491
0.009926069,0.2594292,0.39912184615384616,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-362.94220000000001392,-257.41570000000001528,-345.81969882176620193,-34290.268754778138828,-32908.21119098323834,-34066.019089864917646
0.00992839,0.02115622,0.03254803076923077,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-52.39462999999999937,-35.6814899999999966,-49.682792126650777455,-4904.983120088230862,-4591.622272203335342,-4854.1378680698134334
0.009934577,0.03087148,0.04749458461538461,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-77.15936000000000661,-47.769429999999999836,-72.39061365616022034,-7172.4855159198414185,-6713.2671153869196132,-7097.9737335316105318
0.009958989,0.01335375,0.020544230769230766,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-29.846560000000000201,-25.421569999999999112,-29.128570713056218663,-2819.06271317720757,-2728.8595202837086617,-2804.426538599263702
0.009985936,0.1289694,0.19841446153846154,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-252.20380000000000109,-188.46580000000000155,-241.86181026189377226,-23807.897331649401167,-23072.59361618715775,-23688.588544431384388
0.01000149,0.01681133,0.025863584615384613,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-40.422919999999997742,-31.320070000000001187,-38.945911287967610946,-3790.1870827025727522,-3612.7592710723693017,-3761.3980305337844978
0.01001089,0.04136112,0.0636324923076923,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-105.747299999999995634,-80.39360999999999535,-101.63346521065727165,-9953.788049647973821,-9701.656940965951435,-9912.877802406974338
0.01001244,0.01060726,0.01631886153846154,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-21.649850000000000705,-19.638709999999999667,-21.323526782423436764,-2025.4189901029735665,-1983.4455645289244785,-2018.6084730399971846
0.0100302,0.1,0.15384615384615385,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-212.70179999999999154,-146.4632000000000005,-201.95406832554326333,-19839.074803451036132,-18884.339157847633032,-19684.161466831833279
0.01005166,0.09591253,0.14755773846153844,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-208.97659999999999059,-151.786200000000008,-199.69700964702075972,-19548.179322692434653,-18792.835185739499138,-19425.618820117737723
0.01006148,0.008425647,0.012962533846153845,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-15.4161400000000003985,-14.541489999999999583,-15.274221186663612773,-1415.7192901890409757,-1397.0463631675970646,-1412.6894615211161953
0.01007408,0.1623685,0.2497976923076923,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-288.32560000000000855,-205.79429999999999268,-274.9342501353577762,-26862.09906374813363,-25829.036028436192282,-26694.476494636878899
0.01008944,0.2421193,0.3724912307692308,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.011703879976647928,0.7487395865324111,-355.7400000000000091,-251.1629000000000076,-338.7715464080939457,-33063.4326223233802,-31711.003315117141028,-32843.990374109736948
