Epoch,Train_MSE,Val_MSE,Learning_Rate
1,0.004636441454706717,0.0010140974002288874,0.0007
2,0.0002785891189494572,8.485834404292882e-05,0.0007
3,0.00011085651437141122,5.494148955273873e-05,0.0007
4,8.832253015912869e-05,9.707583376932356e-05,0.0007
5,7.071275996604732e-05,8.515420725222828e-05,0.0007
6,6.090267573301034e-05,3.0790913076688384e-05,0.0007
7,5.798386292677186e-05,2.6431626332220668e-05,0.0007
8,5.030996725326581e-05,2.1586122670093972e-05,0.0007
9,4.793233691937749e-05,0.0001568902706531695,0.0007
10,4.531082937362425e-05,5.304113092563449e-05,0.0007
11,4.266921244584978e-05,3.2455193574436706e-05,0.0007
12,4.250441257475645e-05,8.94652781260285e-06,0.0007
13,4.117230905346648e-05,7.6029086286757e-06,0.0007
14,3.700799768072617e-05,8.209527031961896e-05,0.0007
15,4.083204157440275e-05,1.5503079292978962e-05,0.0007
16,3.743743050326585e-05,1.9860996088649944e-05,0.0007
17,3.5936532615859494e-05,4.8822353910529275e-05,0.0007
18,3.413028874756457e-05,1.5274154576061193e-05,0.0007
19,3.3864978222499355e-05,9.331647484473387e-06,0.0007
20,3.4290899842100754e-05,4.399999930514115e-05,0.0007
21,3.475645403982824e-05,1.0365216121793703e-05,0.0007
22,3.271984230934846e-05,1.8305737745944743e-05,0.0007
23,3.437817984398838e-05,3.5881172481420216e-05,0.0007
24,3.3231932696734266e-05,1.8910100993682588e-05,0.0007
25,3.194738522236333e-05,3.4215597899508234e-05,0.0007
26,3.027750469580914e-05,2.2240324683953396e-05,0.0007
27,3.1517934216125e-05,2.3720727452263696e-05,0.0007
28,3.05945694662148e-05,9.760761142760422e-06,0.0007
29,3.132753423985101e-05,2.7258161307152205e-05,0.00041999999999999996
30,1.0564933926788395e-05,2.604092093185487e-05,0.00041999999999999996
31,1.1545332112318993e-05,1.6999855156184524e-05,0.00041999999999999996
32,1.1337195088402078e-05,1.2769494238298997e-05,0.00041999999999999996
33,1.1315010046237445e-05,4.066051367790171e-06,0.00041999999999999996
34,1.1331030564798726e-05,9.720885839332607e-06,0.00041999999999999996
35,1.1147173709351694e-05,8.547649680320107e-06,0.00041999999999999996
36,1.1034284735025235e-05,1.8692093391362802e-05,0.00041999999999999996
37,1.1283237499996061e-05,6.7567969973945906e-06,0.00041999999999999996
38,1.1019575817628121e-05,9.294626977343927e-06,0.00041999999999999996
39,1.0889273618054756e-05,2.3063891103357483e-06,0.00041999999999999996
40,1.0316709943227112e-05,1.057267175728246e-05,0.00041999999999999996
41,1.128449745441785e-05,1.7267648775990307e-06,0.00041999999999999996
42,1.0038081110787748e-05,8.855125394909656e-06,0.00041999999999999996
43,1.0705631858657996e-05,2.8041446576436142e-06,0.00041999999999999996
44,1.056994313671845e-05,4.424614139700773e-06,0.00041999999999999996
45,1.0937695643576445e-05,4.914786758353589e-06,0.00041999999999999996
46,1.0650314954648631e-05,2.2651914692003197e-06,0.00041999999999999996
47,1.0418393019723563e-05,8.230370957184672e-06,0.00041999999999999996
48,1.0531728226519957e-05,1.4728487458378008e-05,0.00041999999999999996
49,1.0344053872353968e-05,3.5067120255650816e-06,0.00041999999999999996
50,9.973152604772051e-06,2.0160918821231336e-05,0.00041999999999999996
51,1.0075427725148976e-05,8.058417792599397e-06,0.00041999999999999996
52,1.0731439429383912e-05,1.135356225715863e-05,0.00041999999999999996
53,1.0613219613285524e-05,1.6611279481281045e-05,0.00041999999999999996
54,9.937923814880122e-06,4.954212636029096e-06,0.00041999999999999996
55,1.0595536530261936e-05,3.406274096382946e-06,0.00041999999999999996
56,1.0086484735077518e-05,1.684884227422254e-05,0.00041999999999999996
57,1.0917066402420687e-05,1.9278378852731952e-05,0.00025199999999999995
58,3.6217100745421543e-06,2.5931367294930616e-06,0.00025199999999999995
59,4.036548758130508e-06,2.2175584374786266e-06,0.00025199999999999995
60,4.011392942534438e-06,7.0088377151548235e-06,0.00025199999999999995
61,4.036647834609955e-06,6.784450403821672e-06,0.00025199999999999995
62,3.8127611813407557e-06,1.1082386962037006e-06,0.00025199999999999995
63,3.8401332336806185e-06,3.0330792502790835e-06,0.00025199999999999995
64,4.091333758630073e-06,2.266310178058022e-06,0.00025199999999999995
65,3.940364033325431e-06,3.5586413639983947e-06,0.00025199999999999995
66,3.7355184743612205e-06,3.3965559327107627e-06,0.00025199999999999995
67,3.8556852572627975e-06,3.485311905836433e-06,0.00025199999999999995
68,3.84806035067198e-06,2.4766792039502447e-06,0.00025199999999999995
69,3.809925377887441e-06,7.873153021195145e-06,0.00025199999999999995
70,4.0737098513062015e-06,2.4542097258951454e-06,0.00025199999999999995
71,3.7293343331389705e-06,1.505186922948247e-06,0.00025199999999999995
72,3.7407126312226822e-06,1.1235168880549663e-06,0.00025199999999999995
73,3.7042593469189435e-06,3.470530989079184e-06,0.00025199999999999995
74,3.774818869120725e-06,6.226165169229719e-06,0.00025199999999999995
75,3.7104902276968194e-06,3.610859820445771e-06,0.00025199999999999995
76,3.503157150368149e-06,3.046046415017559e-06,0.00025199999999999995
77,3.8016035714408926e-06,6.689727164158616e-07,0.00025199999999999995
78,3.7263805312395064e-06,6.5964001186079146e-06,0.00025199999999999995
79,3.700226082885237e-06,1.8584818545165992e-06,0.00025199999999999995
80,3.881826002021497e-06,1.728934698523489e-06,0.00025199999999999995
81,3.551438935139351e-06,8.918846522034739e-07,0.00025199999999999995
82,3.786349214609847e-06,2.7843483114170504e-06,0.00025199999999999995
83,3.7937361907523922e-06,5.88249688149213e-07,0.00025199999999999995
84,3.514798566123502e-06,1.9442782322369e-05,0.00025199999999999995
85,3.6859578850446704e-06,1.7671761744729484e-06,0.00025199999999999995
86,3.7034735233205486e-06,2.945805654443414e-06,0.00025199999999999995
87,3.512019058231392e-06,4.4896250331509055e-06,0.00025199999999999995
88,3.7619981148050484e-06,2.047841057184288e-06,0.00025199999999999995
89,3.540172070958763e-06,3.1375569751427044e-06,0.00025199999999999995
90,3.546152068626305e-06,7.266368414446642e-06,0.00025199999999999995
91,3.7681894449316787e-06,3.035833479405901e-06,0.00025199999999999995
92,3.6404123721215275e-06,2.5752159521203238e-06,0.00025199999999999995
93,3.618545079675089e-06,7.929661833801455e-06,0.00025199999999999995
94,3.8032849665173114e-06,1.1890299542282854e-05,0.00025199999999999995
95,3.972177256744268e-06,1.4743831222244883e-05,0.00025199999999999995
96,3.352549836431452e-06,1.4846367647184554e-06,0.00025199999999999995
97,3.776815994897503e-06,3.491434188185624e-06,0.00025199999999999995
98,3.7590738723808843e-06,3.1192102738350115e-06,0.00025199999999999995
99,3.631388704400511e-06,5.575560467097825e-07,0.00025199999999999995
100,3.873812112309688e-06,5.697330574220008e-07,0.00025199999999999995
101,3.318844025623204e-06,2.545854525317119e-06,0.00025199999999999995
102,3.745979272919137e-06,1.4751171471205081e-06,0.00025199999999999995
103,3.610996939082499e-06,1.0167856964518893e-06,0.00025199999999999995
104,3.4562908466439016e-06,4.939594941277249e-06,0.00025199999999999995
105,3.735587696645765e-06,4.78274545083076e-06,0.00025199999999999995
106,3.694790777214535e-06,1.767681679144282e-06,0.00025199999999999995
107,3.6818943668082252e-06,8.599312542646977e-06,0.00025199999999999995
108,3.6601068755460423e-06,8.110373266462564e-06,0.00025199999999999995
109,3.690584917492961e-06,1.598357117226781e-06,0.00025199999999999995
110,3.759356371816347e-06,4.579264491248868e-06,0.00025199999999999995
111,3.498126351994035e-06,7.997728575236058e-06,0.00025199999999999995
112,3.5401530348067003e-06,5.1317527966711e-06,0.00025199999999999995
113,3.652474306753823e-06,7.320568237889664e-06,0.00025199999999999995
114,3.6546143951110434e-06,2.625228129795712e-06,0.00025199999999999995
115,3.4752644475000657e-06,4.29159212578397e-06,0.00015119999999999996
116,1.3371486348965307e-06,9.24764782003037e-07,0.00015119999999999996
117,1.3786153018768616e-06,6.348875015084321e-07,0.00015119999999999996
118,1.3834096825606921e-06,9.756245969755781e-07,0.00015119999999999996
119,1.414044989983237e-06,1.4550453324352887e-06,0.00015119999999999996
120,1.353960687416358e-06,5.969785980227297e-07,0.00015119999999999996
121,1.4472360992009866e-06,1.4972099252575884e-06,0.00015119999999999996
122,1.3977017805303776e-06,3.516473426765469e-06,0.00015119999999999996
123,1.3374221787348854e-06,1.255642863493244e-06,0.00015119999999999996
124,1.426642732192543e-06,3.31288941210279e-06,0.00015119999999999996
125,1.3461236993407404e-06,1.2328001125516925e-06,0.00015119999999999996
126,1.3298494466024308e-06,7.819622553199867e-07,0.00015119999999999996
127,1.4090343689539346e-06,6.957648932920504e-07,0.00015119999999999996
128,1.3426466735357505e-06,1.983032458588466e-06,0.00015119999999999996
129,1.3393579155440992e-06,1.4426554859927569e-06,0.00015119999999999996
130,1.366733096547247e-06,4.237900205974149e-07,0.00015119999999999996
131,1.4235535320394963e-06,2.691891317625908e-07,0.00015119999999999996
132,1.3031779538729217e-06,1.2973211969308054e-06,0.00015119999999999996
133,1.3313420753980622e-06,1.5765481088772012e-06,0.00015119999999999996
134,1.3359090845388687e-06,1.162362069617232e-06,0.00015119999999999996
135,1.3296909309166536e-06,3.3644074232477065e-07,0.00015119999999999996
136,1.2842329824163204e-06,7.546504111875044e-07,0.00015119999999999996
137,1.347609417111986e-06,2.40860850970659e-06,0.00015119999999999996
138,1.3559384571466662e-06,1.722948559870987e-06,0.00015119999999999996
139,1.322014430880936e-06,6.125077866817774e-07,0.00015119999999999996
140,1.3387486523922485e-06,5.206115286675935e-07,0.00015119999999999996
141,1.3458974466109436e-06,3.143054566838689e-06,0.00015119999999999996
142,1.3293934223748966e-06,3.9086115645751495e-07,0.00015119999999999996
143,1.2899901298079773e-06,2.401516601513473e-06,0.00015119999999999996
144,1.342097515726929e-06,4.189562115642178e-07,0.00015119999999999996
145,1.2803209198330607e-06,2.2200696809451683e-06,0.00015119999999999996
146,1.3086762100639315e-06,7.162943668778364e-07,0.00015119999999999996
147,1.3066164792860535e-06,4.303424889975558e-06,9.071999999999997e-05
148,5.143759304315937e-07,4.057722788333018e-07,9.071999999999997e-05
149,5.561127234193732e-07,4.446807940071412e-07,9.071999999999997e-05
150,5.256166117947744e-07,9.042970092472051e-07,9.071999999999997e-05
151,5.782435811538314e-07,2.5838372526541044e-07,9.071999999999997e-05
152,5.400551659053962e-07,5.190729665587146e-07,9.071999999999997e-05
153,5.513055747820738e-07,3.399788282011905e-07,9.071999999999997e-05
154,5.394340420371655e-07,2.782197760338046e-06,9.071999999999997e-05
155,5.485287167645903e-07,6.674799569339217e-07,9.071999999999997e-05
156,5.331659475021798e-07,3.9638404077442343e-07,9.071999999999997e-05
157,5.417450491672532e-07,8.863706615646069e-07,9.071999999999997e-05
158,5.250191397676449e-07,6.036695735764153e-07,9.071999999999997e-05
159,5.335866169898311e-07,2.766001654791411e-07,9.071999999999997e-05
160,5.301594035426215e-07,2.703411279670414e-07,9.071999999999997e-05
161,5.430802843803887e-07,9.477917229576271e-07,9.071999999999997e-05
162,5.138982326492089e-07,2.939400015505224e-07,9.071999999999997e-05
163,5.230154952194393e-07,1.8497471092855543e-07,9.071999999999997e-05
164,5.215901758338439e-07,8.268055825782499e-07,9.071999999999997e-05
165,5.388477491537529e-07,5.339117759320146e-07,9.071999999999997e-05
166,5.443731074723163e-07,5.524409826324304e-07,9.071999999999997e-05
167,5.387774704030431e-07,2.7106660720096617e-07,9.071999999999997e-05
168,5.059099083009903e-07,2.2225702380273115e-07,9.071999999999997e-05
169,5.100563091259376e-07,1.1671437570871788e-06,9.071999999999997e-05
170,5.16136722502702e-07,3.005781199627294e-07,9.071999999999997e-05
171,5.044987078433289e-07,7.900261186194865e-07,9.071999999999997e-05
172,5.387886003887428e-07,3.202212645995486e-07,9.071999999999997e-05
